OUTPUTS

Time, , Product Mined SC, , , , , Product Mined BCMC, , , , , Product Mined BWMW, , , , , Monthly Cycle Times, , , HopperA, HopperB, ROM, , , , Stockpile, , , , Trucks Allocated, , ThroughputTLO, MinTruckCycle, , , ExcavatorSC, ExcavatorSC_Utils, , , , , , , , , , , , ExcavatorBCMC, , , ExcavatorBCMC_Utils, , , , , , , , , , , , Weather, CancelledTrains
Month, Year, Seam X, Seam A, Seam B, Seam D, None, Seam X, Seam A, Seam B, Seam D, None, Seam X, Seam A, Seam B, Seam D, None, SC (min), BCMC (min), BWMW (min), HopperThroughput, HopperThroughput, Current Contents (t), Addition this Month (t), Reclaimed this Month (t), Average Contents (t), Current Contents (t), Addition this Month (t), Reclaimed this Month (t), Average Contents (t), Ave. Number Trucks Allocated, Maximum. Number Trucks Allocated, Loaded (t), SC, BCMC, BWMW, Total Product Mined, Waiting For Truck, Loading Time, Shift Startup, Pre Break, Post Break, Waste, Seam Changeover, Offshift, Maintenance, Failed, Weather Interruption, Unscheduled, Total Product Mined, BCMC Product Mined, BWMW Product Mined, Waiting For Truck, Loading Time, Shift Startup, Pre Break, Post Break, Waste, Seam Changeover, Offshift, Maintenance, Failed, Weather Interruption, Unscheduled, Total Downtime, CancelledTrainsThisMonth
6, 2014, 0, 0, 98999.9995146055, 434999.998760135, 319960.86, 0, 0, 0, 0, 290465.662, 0, 999.999924733498, 90000.0006770641, 317000.000180013, 290465.662, 30.4299349520801, NaN, 30.1052471887841, 1067474.3535452, 0, 174257.906434034, 532059.722275939, 657801.815841938, 372736.309793101, 154974.353545114, 1067474.3535452, 1012500, 151593.397762277, 5.7663421418637, 12, 1012500, 25.7562037050786, NaN, 24.5698912465718, 533999.998274742, 21.9436522923768, 291.746711982376, 16.2948274882471, 16.875, 10.0222222222228, 86.6127071029415, 7, 53.5, 14, 29.7431259227547, 28.2996661096806, 143.945420212734, 408000.000781811, 0, 408000.000781811, 20.0528566016392, 221.277581929617, 19.6711942997061, 18.5, 7.39138888888923, 106.883670278968, 5, 55.7527777777779, 15.2612480017713, 22.8855655037584, 28.2996661096806, 199.007383941525, 28.2996661096806, 0
7, 2014, 0, 0, 60999.9996418473, 242999.998744445, 625626.221999999, 0, 0, 0, 66000.0004601019, 221353.98, 0, 24999.9999943369, 153999.999632531, 311000.000446107, 221353.98, 30.4607445297991, 23.6062227115164, 29.6379605867551, 978437.475109978, 0, 55811.7153575877, 451845.389511927, 570291.580588401, 203345.002809679, 111250.256102911, 978437.475109978, 1022161.57255233, 180137.962051484, 5.19220430107527, 13, 1022161.57255233, 25.7562083508788, 16.708584635644, 23.2164683781775, 837999.996661017, 51.1405863117829, 466.174525207569, 33.8819974898776, 32.125, 21.5477777777748, 325.181691972624, 12.5513696195135, 107, 28, 49.6032021388347, 108.798870971123, 227.978311844234, 964000.001314861, 66000.0004601019, 898000.000854759, 59.0946929240992, 526.653422252496, 37.1902591382707, 34.75, 16.78722222222, 151.946890469508, 12, 109.004444444445, 29.7574674013451, 46.5848160564447, 108.798870971123, 331.415247453382, 108.798870971123, 0
8, 2014, 0, 0, 232000.000531255, 131999.999398586, 554197.65, 0, 0, 0, 252999.998694219, 225457.828, 0, 105999.999994746, 14000.0001053212, 175999.999961088, 225457.828, 29.654485206527, 22.9747321698414, 29.0340685056599, 829919.742293364, 0, 138690.6866356, 435909.176233572, 353030.204955667, 126620.929624795, 59831.570948469, 829919.742293364, 881338.427447669, 40641.9910911865, 4.83602150537634, 12, 881338.427447669, 25.7562032432725, 16.7085772516157, 23.9730968926779, 1201999.99659085, 166.130366708594, 670.089348820084, 50.7448517929492, 45.625, 34.7019444444315, 521.917010567423, 19.0715422023836, 160, 42, 83.587623649514, 171.402793150651, 242.712851997304, 1513000.00007023, 318999.999154321, 1194000.00091591, 224.205411866497, 826.289578320066, 51.8165336206207, 49.125, 25.6121015128343, 163.702845285355, 19.4635140644282, 164.722555800893, 43.7574674013451, 74.639617153978, 171.402793150651, 393.245915156665, 171.402793150651, 21
9, 2014, 0, 0, 90999.999849182, 431000.001548618, 334246.578, 0, 0, 181000.000279518, 292000.000999129, 108137.584, 0, 16000.0002027351, 230000.000204272, 0, 108137.584, 29.8330919787671, 23.2282804753127, 29.6919197328816, 1010909.37491407, 0, 368969.053881581, 618780.813283789, 388502.446037986, 272481.047285612, 66340.9458623288, 1010909.37491407, 1004400, 79573.002378785, 6.54722222222222, 12, 1004400, 25.7562059570228, 16.7085824712467, 26.2482858268868, 1723999.99798864, 205.164372559289, 957.927324075603, 67.242701077152, 62.875, 45.0999999999791, 624.283478302986, 26.0715422023836, 215.5, 56, 111.1385769251, 171.858389264285, 384.821948926556, 2232000.00175586, 792000.000432956, 1440000.0013229, 282.572413795183, 1217.23194763937, 67.80417841297, 63.75, 34.27453475939, 197.654530424946, 25.4635140644282, 220.935295338788, 57.7574674013451, 125.403523331769, 171.858389264285, 463.277538900861, 171.858389264285, 0
10, 2014, 0, 0, 37000.0006455786, 245000.000615177, 651816.702, 0, 0, 0, 203999.999508664, 44302.2779999996, 0, 74999.9999830101, 458000.000393454, 92527.7067796912, 44302.2779999996, 30.2347771243859, 23.0712743362029, 29.6755900585674, 1010823.87850233, 0, 469672.883303718, 516410.977557923, 415707.148135482, 468194.479134376, 48464.8243645376, 1010823.87850233, 1028700, 67784.8487582397, 6.08870967741936, 12, 1028700, 25.756204624704, 16.7085811751622, 24.6113471432363, 2005999.9992494, 244.007666935539, 1118.31004587031, 88.3558475556637, 77, 57.2005147191154, 901.200113868868, 34.0715422023836, 267.5, 70, 123.830312888487, 249.995021809306, 440.51226748366, 3061527.70842067, 995999.99994162, 2065527.70847905, 352.056853200169, 1672.87630860348, 75.1936259002391, 76.25, 45.4493589544664, 197.654530424946, 32.4635140644282, 273.217870907882, 71.7574674013451, 154.923382188523, 249.995021809306, 470.145399878549, 249.995021809306, 0
11, 2014, 0, 0, 181000.000471179, 323999.999414246, 354484.668, 0, 0, 45000.0001485811, 264702.377266443, 70030.4300000005, 0, 12000.0000348018, 81000.0006093527, 346000.000188281, 70030.4300000005, 29.5352836136523, 23.0504214742486, 29.7217152435684, 1152870.79921413, 0, 570098.008257524, 491462.142988311, 391037.018034212, 512814.300504981, 188835.623578679, 1152870.79921413, 1012500, 137270.005209761, 7.05138888888889, 13, 1012500, 25.7562034616603, 16.7085822177978, 23.7271634861827, 2510999.99913529, 321.722569427214, 1402.50502830298, 103.101801354828, 91.375, 68.1551581049731, 991.322293802515, 39.0715422023836, 318.001584418974, 84, 171.323833230581, 282.076951411551, 519.327571077332, 3810230.08666858, 1305702.37735664, 2504527.70931194, 473.784559781421, 2085.76518115686, 88.9186749429027, 89.5, 59.1774038693975, 197.654530424946, 37.4635140644282, 329.099259796774, 85.7574674013451, 186.569255257674, 282.076951411551, 476.216535226031, 282.076951411551, 0
12, 2014, 0, 0, 39999.9997891121, 234000.00012113, 628879.480666209, 0, 0, 23000.0001213851, 211007.986737241, 0, 0, 201000.000348419, 159469.911287847, 110405.871677539, 0, 29.9063430030642, 22.5314710397347, 29.0102368200907, 1098611.93327682, 0, 449577.498921983, 353514.049471889, 474034.558807312, 575545.317472921, 274947.556855183, 1098611.93327682, 1012500, 250690.052384201, 5.58064516129032, 12, 1012500, 25.7562088220948, 16.7085778984983, 23.2197466984326, 2784999.99904588, 352.983861943766, 1553.81415971088, 117.060891547578, 101.875, 85.3879178197236, 1211.38735031874, 46.0715422023836, 361.010377146516, 98, 208.125163712807, 460.391666561317, 539.875402369618, 4515113.8568416, 1539710.36421527, 2975403.49262634, 515.922802438919, 2475.31101631618, 94.5045940942464, 99.75, 68.1507682881839, 197.654530424946, 44.5068925720338, 371.818247192547, 99.7574674013451, 220.830127155929, 460.391666561317, 487.38522088769, 460.391666561317, 0
1, 2015, 0, 0, 94000.0004547104, 386999.999572821, 414946.94, 0, 0, 45000.0001485811, 0, 173280.340000001, 0, 0, 173034.999775454, 363267.900435093, 173280.34, 29.4764641177367, 23.0438973637119, 29.323796074424, 1044265.65227404, 0, 467988.495979391, 475932.354182913, 457521.357125358, 421042.991705523, 266213.209128847, 1044265.65227404, 1053000, 260609.739328167, 6.16532258064516, 12, 1053000, 25.7562059881275, 16.7085808115371, 24.1895222378116, 3265999.99907367, 391.572669859007, 1821.24991302664, 129.270448485465, 113, 99.3980155759433, 1341.89168401729, 54.0715422023836, 405.057574095771, 112, 242.683584388451, 607.733202195712, 562.054699486672, 5096416.75720142, 1584710.36436385, 3511706.39283757, 581.759353907097, 2802.84626746659, 103.313232739034, 110.5, 78.6918929270196, 265.911609298411, 49.5068925720338, 415.244030536171, 113.757467401345, 256.13082089137, 607.733202195712, 494.588563398546, 607.733202195712, 0
2, 2015, 0, 0, 60999.9996418456, 120000.001234324, 676487.280000013, 0, 8000.00025600066, 115000.000197928, 281999.998856508, 158421.36, 0, 0, 48000.0003610983, 119999.999855788, 158421.359999999, 29.6287994801888, 22.7524661606935, 28.9301068698488, 920703.976242697, 0, 301711.832229991, 290066.175503867, 456342.839253162, 433635.034972673, 239217.185371217, 920703.976242697, 947700, 266008.868174893, 4.80059523809524, 11, 947700, 25.7562113274435, 16.7085769836922, 24.0049341678787, 3446999.99994992, 422.433246133958, 1922.30259984053, 148.089048766469, 124.25, 113.004126687084, 1622.89116492289, 60.0715422023836, 448.557574095771, 126, 268.529671823851, 703.768957611648, 592.085401248749, 5669416.75672895, 1989710.36367428, 3679706.39305467, 622.695022889941, 3119.99545414165, 113.655765113946, 122.875, 85.5821707048172, 304.908275965074, 57.5068925720338, 462.750697202846, 127.757467401345, 270.177057773545, 703.768957611648, 560.31057195649, 703.768957611648, 0
3, 2015, 0, 0, 225999.999320173, 336999.998514483, 317292.888000011, 0, 0, 0, 352000.000699862, 238941.898, 0, 999.999924733818, 0, 172999.998799646, 238941.898, 29.9363460806712, 22.7022359352873, 29.6556340392587, 1115607.22872571, 0, 275104.600765544, 420158.334677708, 446765.566141819, 375403.692100453, 336984.700076123, 1115607.22872571, 1017839.71402025, 301705.085512476, 6.0497311827957, 12, 1017839.71402025, 25.7562072686051, 16.7085769880032, 24.6417698565892, 4009999.99778486, 464.444154417376, 2239.83747628828, 163.638664941806, 139.125, 125.231142151949, 1741.49553784124, 66.0715422023836, 502.60894423309, 140, 309.680763525446, 734.978611127203, 668.871496604554, 6195416.75615367, 2341710.36437439, 3853706.39177928, 666.325221647576, 3416.96748248587, 130.37009861597, 141.94473405173, 91.2964590426746, 304.908275965074, 59.5068925720338, 519.904462354381, 141.757467401345, 305.155656502439, 734.978611127203, 782.86797156704, 734.978611127203, 0
4, 2015, 0, 0, 181000.000471174, 194585.306125771, 408998.31248737, 0, 0, 0, 271999.999344949, 370197.554, 0, 0, 0, 0, 370197.553999998, 29.5554535127454, 22.730264621245, NaN, 697595.152637756, 0, 223862.336475897, 270361.101070992, 321603.365360353, 221055.302843706, 51719.5667339209, 697595.152637756, 982860.285979748, 256471.18040829, 3.81111111111111, 11, 982860.285979748, 25.7562030883491, 16.7085846355621, NaN, 4385585.30438183, 661.101402688613, 2449.96579156172, 180.20512011903, 151.75, 141.114504935352, 1815.11064113613, 74.0715422023836, 552.255823228094, 154, 369.490511187581, 766.956616599966, 699.961379674457, 6467416.7554989, 2613710.36371962, 3853706.39177928, 862.678400801856, 3563.31123601232, 153.104295001947, 155.56973405173, 106.899514598255, 466.341343809443, 60.5068925720338, 578.914462354394, 155.757467401345, 337.651984110205, 766.956616599966, 808.291386019838, 766.956616599966, 0
